spread,target_median,number_KNN,ABS Metrics ,fsignal
7995,4770,3,0.68,0
,,,,
1141,1141,1,0,0
,,,,
1247,1275,3,0.02,0
,,,,
764,760,2,0.01,0
,,,,
1277,1365,2,0.06,0
,,,,
1895,1895,1,0,0
,,,,
918,918,1,0,0
,,,,
1284,1284,1,0,0
,,,,
988,988,1,0,0
,,,,
860,840,3,0.02,0
,,,,
1322,1210,2,0.09,0
,,,,
1486,1486,1,0,0
,,,,
933,933,1,0,0
,,,,
1359,1359,1,0,0
,,,,
1964,3436,2,0.43,0
,,,,
932,932,3,0,0
,,,,
1214,2141,23,0.43,0
,,,,
1614,2980,7,0.46,0
,,,,
1914,2536,2,0.25,0
,,,,
920,932,3,0.01,0
,,,,
2255,1648,4,0.37,1
,,,,
2568,2980,7,0.14,0
,,,,
961,1112,6,0.14,0
,,,,
1793,2141,23,0.16,0
,,,,
992,1075,3,0.08,0
,,,,
1425,1910,2,0.25,0
,,,,
1039,1039,7,0,0
,,,,
2395,1910,2,0.25,0
,,,,
1089,1089,1,0,0
,,,,
1214,1186,4,0.02,0
,,,,
1462,1957,5,0.25,1
,,,,
2790,2790,1,0,0
,,,,
1170,1068,19,0.1,1
,,,,
1518,1506,13,0.01,1
,,,,
2740,2378,14,0.15,1
,,,,
1086,1068,19,0.02,0
,,,,
1425,2108,23,0.32,0
,,,,
3067,2378,14,0.29,0
,,,,
1141,1068,19,0.07,0
,,,,
2108,2108,23,0,0
,,,,
1063,1068,19,0,0
,,,,
2862,1690,4,0.69,0
,,,,
1072,1072,1,0,0
,,,,
1457,1506,13,0.03,0
,,,,
2364,2378,14,0.01,0
,,,,
838,946,4,0.11,1
,,,,
1199,1506,13,0.2,1
,,,,
1635,2378,14,0.31,0
,,,,
2974,2993,3,0.01,0
,,,,
1017,1064,12,0.04,0
,,,,
1956,2108,23,0.07,0
,,,,
1013,838,2,0.21,0
,,,,
1520,1506,13,0.01,0
,,,,
1757,2378,14,0.26,0
,,,,
2993,2993,3,0,0
,,,,
986,986,1,0,0
,,,,
1006,1006,1,0,0
,,,,
1551,1551,1,0,0
,,,,
1551,1551,1,0,0
,,,,
2977,3163,3,0.06,0
,,,,
3027,3555,3,0.15,0
,,,,
986,974,4,0.01,0
,,,,
1551,1551,1,0,0
,,,,
2977,1796,13,0.66,0
,,,,
1009,1008,5,0,0
,,,,
1567,1538,2,0.02,0
,,,,
2623,2623,1,0,0
,,,,
1011,1011,1,0,0
,,,,
1014,1014,1,0,0
,,,,
1569,1569,1,0,0
,,,,
1571,1571,1,0,0
,,,,
2631,2631,1,0,0
,,,,
2670,2670,1,0,0
,,,,
1364,996,21,0.37,0
,,,,
1770,1419,27,0.25,0
,,,,
1796,1796,13,0,0
,,,,
1181,996,21,0.19,0
,,,,
3551,1419,27,1.5,0
,,,,
942,974,8,0.03,0
,,,,
1602,1419,27,0.13,0
,,,,
986,996,21,0.01,0
,,,,
1262,1419,27,0.11,0
,,,,
854,926,4,0.08,0
,,,,
3040,1419,27,1.14,0
,,,,
943,926,4,0.02,0
,,,,
1282,1419,27,0.1,0
,,,,
1001,974,8,0.03,0
,,,,
1340,1340,1,0,0
,,,,
2039,1824,2,0.12,0
,,,,
776,824,14,0.06,0
,,,,
1276,1533,15,0.17,0
,,,,
2761,2730,4,0.01,0
,,,,
853,824,14,0.04,0
,,,,
1135,1533,15,0.26,0
,,,,
828,824,14,0,0
,,,,
1228,1533,15,0.2,0
,,,,
862,824,14,0.05,0
,,,,
1828,1533,15,0.19,0
,,,,
923,772,2,0.2,0
,,,,
1253,1345,4,0.07,0
,,,,
1137,1137,1,0,0
,,,,
1437,1345,4,0.07,0
,,,,
1837,1837,1,0,0
,,,,
449,449,1,0,0
,,,,
157,157,1,0,0
,,,,
580,580,1,0,0
,,,,
1447,1447,1,0,0
,,,,
1748,1748,1,0,0
,,,,
860,860,1,0,0
,,,,
585,585,1,0,0
,,,,
759,759,1,0,0
,,,,
1168,974,8,0.2,0
,,,,
1408,1419,27,0.01,0
,,,,
1632,1632,1,0,0
,,,,
464,464,1,0,0
,,,,
534,534,1,0,0
,,,,
1602,1602,1,0,0
,,,,
17154,17154,1,0,0
,,,,
1266,1266,1,0,0
,,,,
1786,1694,2,0.05,0
,,,,
2273,2273,3,0,0
,,,,
949,2219,2,0.57,0
,,,,
1799,1764,7,0.02,0
,,,,
969,1046,2,0.07,0
,,,,
1301,2084,2,0.38,0
,,,,
2271,3338,4,0.32,0
,,,,
843,861,4,0.02,0
,,,,
1739,1764,7,0.01,0
,,,,
1201,952,2,0.26,1
,,,,
1841,1764,7,0.04,0
,,,,
1182,989,3,0.2,0
,,,,
1098,993,13,0.11,0
,,,,
1628,1628,19,0,0
,,,,
1051,1056,2,0,0
,,,,
1401,1401,1,0,0
,,,,
816,824,14,0.01,0
,,,,
385,385,1,0,0
,,,,
408,408,1,0,0
,,,,
169,169,1,0,0
,,,,
219,219,1,0,0
,,,,
284,284,1,0,0
,,,,
562,562,1,0,0
,,,,
756,756,1,0,0
,,,,
653,653,1,0,0
,,,,
915,915,1,0,0
,,,,
1163,1163,1,0,0
,,,,
6355,6355,1,0,0
,,,,
4819,4819,1,0,0
,,,,
4542,4542,1,0,0
,,,,
8362,8362,1,0,0
,,,,
1405,1405,1,0,0
,,,,
13772,13772,1,0,0
,,,,
3310,3310,1,0,0
,,,,
3818,3818,1,0,0
,,,,
5612,5612,1,0,0
,,,,
57133,57133,1,0,0
,,,,
99665,99665,1,0,0
,,,,
530,530,1,0,0
,,,,
540,540,1,0,0
,,,,
-10235,-10235,1,0,0
,,,,
833,729,2,0.14,0
,,,,
1263,1256,3,0.01,0
,,,,
804,808,2,0,0
,,,,
1333,1268,2,0.05,0
,,,,
5150,5150,1,0,0
,,,,
9695,2128,4,3.56,0
,,,,
1607,703,4,1.29,1
,,,,
1681,784,4,1.14,0
,,,,
